lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-0.21,132.85,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.56,132.17,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.79,132.75,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.37,132.60,10,4.1,Irian Jaya Region - Indonesia,,,,,,
-0.62,132.64,10,3.4,Irian Jaya Region - Indonesia,,,,,,
-0.82,131.34,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.32,132.66,13,4.5,Irian Jaya Region - Indonesia,,,,,,
-0.43,133.20,8,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.51,131.97,10,3.8,Irian Jaya Region - Indonesia,,,,,,
-0.81,133.19,58,5.0,Irian Jaya Region - Indonesia,,,,,,
-4.10,133.90,19,3.6,Irian Jaya Region - Indonesia,,,,,,
-0.35,132.95,22,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.25,132.83,42,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.43,132.71,54,4.7,Irian Jaya Region - Indonesia,,,,,,
-4.67,132.79,75,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.79,133.30,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.81,133.11,39,4.8,Irian Jaya Region - Indonesia,,,,,,
-3.28,135.38,110,4.0,Irian Jaya Region - Indonesia,,,,,,
-0.93,132.85,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.78,133.60,37,3.4,Irian Jaya Region - Indonesia,,,,,,
-2.39,133.34,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.58,132.88,40,5.1,Irian Jaya Region - Indonesia,,,,,,
